component_id,batch_id,batch_id_was_missing,property_name,property_unit,property_value,property_value_numeric,is_numeric_property_value
Антиоксидант_1,01028.23,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,6.8,6.8,True
Антиоксидант_1,01028.23,False,"Щелочное число, ASTM D2896",мг KOH/г,0,0.0,True
Антиоксидант_1,01028.23,False,"Щелочное число, ГОСТ 11362",мг KOH/г,0,0.0,True
Антиоксидант_1,02717.22,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,6.65,6.65,True
Антиоксидант_1,typical,False,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103,4.102564103,True
Антиоксидант_1,typical,False,"Дипольный момент, Д",,1.66,1.66,True
Антиоксидант_1,typical,False,Номер CAS / SMILES,,"125643-61-0,144429-84-5",,False
Антиоксидант_1,typical,False,"Потенциал ионизации,эВ",,7.18,7.18,True
Антиоксидант_1,typical,False,"Стерический фактор, Å3",,62.4,62.4,True
Антиоксидант_1,typical,False,"Температура плавления, °C",,<5,,False
Антиоксидант_1,typical,False,Тип АО,,Фенол,,False
Антиоксидант_1,typical,False,"Химический потенциал, Дж/моль",,-2.75,-2.75,True
Антиоксидант_1,typical,False,"Энергия ВЗМО, эВ",,-5.58,-5.58,True
Антиоксидант_1,typical,False,"Энергия НСМО, эВ",,0.035,0.035,True
Антиоксидант_1,typical,False,"Энергия диссоциации связи Х-Н, ккал/моль",,355.19,355.19,True
Антиоксидант_10,4793.19,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,21.67,21.67,True
Антиоксидант_10,4793.19,False,"Массовая доля кальция, ASTM D6481",% масс,0.253,0.253,True
Антиоксидант_10,4793.19,False,"Массовая доля сульфатной золы, ГОСТ 12417",%,8.64,8.64,True
Антиоксидант_10,4793.19,False,"Массовая доля фосфора, ASTM D6481",% масс,0.432,0.432,True
Антиоксидант_10,4793.19,False,"Массовая доля цинка, ASTM D6481",% масс,0.0278,0.0278,True
Антиоксидант_10,4793.19,False,"Щелочное число, ASTM D2896",мг KOH/г,8.53,8.53,True
Антиоксидант_10,4793.19,False,"Щелочное число, ГОСТ 11362",мг KOH/г,5.26,5.26,True
Антиоксидант_11,typical,False,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103,4.102564103,True
Антиоксидант_11,typical,False,"Дипольный момент, Д",,1.66,1.66,True
Антиоксидант_11,typical,False,Номер CAS / SMILES,,"125643-61-0,144429-84-5",,False
Антиоксидант_11,typical,False,"Потенциал ионизации,эВ",,7.18,7.18,True
Антиоксидант_11,typical,False,"Стерический фактор, Å3",,62.4,62.4,True
Антиоксидант_11,typical,False,"Температура плавления, °C",,<5,,False
Антиоксидант_11,typical,False,Тип АО,,Фенол,,False
Антиоксидант_11,typical,False,"Химический потенциал, Дж/моль",,-2.75,-2.75,True
Антиоксидант_11,typical,False,"Энергия ВЗМО, эВ",,-5.58,-5.58,True
Антиоксидант_11,typical,False,"Энергия НСМО, эВ",,0.035,0.035,True
