component_id,batch_id,prop__aktivnyi_azot_kislorod_pct_mass_n_ili_o,prop__anilinovaya_tochka,prop__atomnoe_otnoshenie_p_zn,prop__coc_c,prop__deaeratsiya_astm_d3427_min,prop__deem_emulsiya_astm_d1401_ml,prop__deem_maslo_astm_d1401_ml,prop__deem_voda_astm_d1401_ml,prop__deem_vremya_astm_d1401_min,prop__dinamicheskaya_vyazkost_ccs_15_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_20_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_25_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_30_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_35_c_astm_d5293_mpa_s,prop__dipolnyi_moment_d,prop__dlina_uglerodnoi_tsepi,prop__energiya_dissotsiatsii_svyazi_h_n_kkal_mol,prop__energiya_nsmo_ev,prop__energiya_vzmo_ev,prop__gruppa_po_api,prop__himicheskii_potentsial_dzh_mol,prop__indeks_polidispersnosti,prop__indeks_stabilnosti_pct,prop__indeks_vyazkosti_gost_25371,prop__indeks_vyazkosti_gost_25371_2,prop__isparyaemost_po_noack_astm_d5800_pct,prop__isparyaemost_po_noack_astm_d5800_pct_mass,prop__kinematicheskaya_vyazkost,prop__kinematicheskaya_vyazkost_pri_100_c_astm_d445_mm2_s,prop__kinematicheskaya_vyazkost_pri_300s_astm_d445_mm2_s,prop__kinematicheskaya_vyazkost_pri_40_c_astm_d445_mm2_s,prop__kislotnoe_chislo_gost_11362_mg_koh_g,prop__massa_gidrofobnogo_hvosta_g_mol,prop__massovaya_dolya_fosfora_astm_d6481_pct_mass,prop__massovaya_dolya_fosfora_astm_d6481_pct_mass_2,prop__massovaya_dolya_kaltsiya_astm_d6481_pct_mass,prop__massovaya_dolya_kaltsiya_astm_d6481_pct_mass_2,prop__massovaya_dolya_sery_astm_d6481_pct_mass,prop__massovaya_dolya_sery_astm_d6481_pct_mass_2,prop__massovaya_dolya_sulfatnoi_zoly_gost_12417_pct,prop__massovaya_dolya_tsinka_astm_d6481_pct_mass,prop__massovaya_dolya_tsinka_astm_d6481_pct_mass_2,prop__obschee_soderzhanie_azota_astm_d3228_pct,prop__opredelenie_soderzhaniya_vody_metodom_karla_fishera_astm_d_6304_ppm,prop__otnoshenie_mylo_osnovanie,prop__otnoshenie_s_mo,prop__pct_mass_mo,prop__plotnost_pri_15_s_astm_d4052_g_sm3,prop__plotnost_pri_15_s_astm_d4052_kg_m3,prop__plotnost_pri_20_s_astm_d4052_kg_m3,prop__posledovatelnost_1_astm_d892_sm3,prop__posledovatelnost_2_astm_d892_sm3,prop__posledovatelnost_3_astm_d892_sm3,prop__potentsial_ionizatsii_ev,prop__razmer_mitsell_nm,prop__schelochnoe_chislo_astm_d2896_mg_koh_g,prop__schelochnoe_chislo_gost_11362_mg_koh_g,prop__soderzhanie_azota,prop__soderzhanie_bora,prop__soderzhanie_masla,prop__soderzhanie_masla_pct_mass,prop__soderzhanie_metalla_ca_mg_pct_mass,prop__soderzhanie_mgco3_caco3_pct_mass,prop__soderzhanie_myla_pct_mass,prop__soderzhanie_polimera,prop__soderzhanie_sery_mg_kg,prop__soderzhanie_sery_pct_mass,prop__soderzhanie_vody_pct_mass,prop__sootnoshenie_monomerov_eo_po,prop__srednevesovaya_massa,prop__stepen_polisulfidnosti,prop__stericheskii_faktor_a3,prop__temperatura_plavleniya_c,prop__temperatura_provedeniya_testa_c,prop__temperatura_zastyvaniya_gost_20287_metod_b_c,prop__tsvet_astm_d1500_ed,prop__tsvet_seibolt_ed
Антиоксидант_1,01028.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Антиоксидант_1,02717.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Антиоксидант_10,4793.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.67,,,,,,0.432,,0.253,,,8.64,,0.0278,,,,,,,,,,,,,,8.53,5.26,,,,,,,,,,,,,,,,,,,,
Антиоксидант_12,02670.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73,,,,,,,,,,,,,,8.666,,,,,,,,,,,,,189.9,,,,,,,,,,,,,,,,,,,,,
Антиоксидант_14,19776.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Антиоксидант_2,01623.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54,,,,,,,,,,,,,,,,,,,,,,,,,,,138.8,,,,,,,,,,,,,,,,,,,,,
Антиоксидант_3,01029/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.51,,,,,,,,,,,,,,,,,,,,,,,,,,,177.1,,,,,,,,,,,,,,,,,,,,,
Антиоксидант_3,01198.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.04,,,,,,0.0002,,0.0002,,0.0002,,,0.0002,,,,,,,,,,,,,,176.3,,,,,,,,,,,,,,,,,,,,,
Антиоксидант_3,02719.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,166.7,,,,,,,,,,,,,,,,,,,,,
Антипенная_присадка_3,б/н,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_1,01044.23,,,,,,0.0,39.0,41.0,30.0,500.0,777.0,1269.0,2253.0,4187.0,,,,,,,,,,,113.0,14.5,,,4.445,,22.02,,,,0.0031,,0.00092,,0.0078,,,1e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-22.0,,
Базовое_масло_1,01509.24,,,,,,,,,,517.0,863.0,1407.0,2461.0,4719.0,,,,,,,,,,,110.0,,,,4.5,,22.76,,,,,,,,,,,,,,,,,,843.6,840.2,,,,,,,,,,,,,,,,,,,,,,,,,-28.0,,
Базовое_масло_1,01595.25,,,,,,,,,,,790.0,1338.0,2348.0,4420.0,,,,,,,,,,,,,,,4.48,,22.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_1,01941.23,,,,,,0.0,39.0,41.0,5.0,524.0,818.0,1235.0,2332.0,4335.0,,,,,,,,,,,112.0,13.5,,,4.5,,22.52,,,,0.0055,,0.0042,,0.0049,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-25.0,,
Базовое_масло_1,01987.25,,,,,,,,,,507.0,809.0,1338.0,2338.0,,,,,,,,,,,,115.0,,,,4.51,,22.35,,,,,,,,,,,,,,,,,,843.7,840.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_1,02228.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
