fold_index,model_name,target_strategy,n_train,n_valid,fit_time_seconds,best_inner_cv_score,best_params_json,best_epoch,viscosity_scale,oxidation_scale,target_delta_kinematic_viscosity_pct__rmse,target_delta_kinematic_viscosity_pct__mae,target_delta_kinematic_viscosity_pct__r2,target_delta_kinematic_viscosity_pct__nrmse_iqr,target_oxidation_eot_a_per_cm__rmse,target_oxidation_eot_a_per_cm__mae,target_oxidation_eot_a_per_cm__r2,target_oxidation_eot_a_per_cm__nrmse_iqr,combined_score,combined_r2_mean
1,deep_sets_v1,raw,133,34,1.2299707919592038,0.3767283000051975,"{""best_epoch"": 74, ""best_val_loss"": 0.3767283000051975, ""config"": {""batch_size"": 32, ""component_embedding_dim"": 8, ""condition_hidden_dim"": 32, ""dropout"": 0.1, ""element_hidden_dim"": 64, ""family_embedding_dim"": 8, ""fusion_hidden_dim"": 64, ""grad_clip_norm"": 5.0, ""learning_rate"": 0.001, ""max_epochs"": 250, ""min_delta"": 0.0001, ""patience"": 35, ""property_projection_dim"": 16, ""weight_decay"": 0.0001}}",74,44.89999866485596,59.68000030517578,240.71926163897479,83.09450554146486,0.4145276493688759,5.361230930890653,24.62961412306079,19.680353192722094,0.5327694952088299,0.41269460450932294,2.886962767699988,0.4736485722888529
1,deep_sets_v1,viscosity_asinh,133,34,0.5287269169930369,0.44205306470394135,"{""best_epoch"": 40, ""best_val_loss"": 0.44205306470394135, ""config"": {""batch_size"": 32, ""component_embedding_dim"": 8, ""condition_hidden_dim"": 32, ""dropout"": 0.1, ""element_hidden_dim"": 64, ""family_embedding_dim"": 8, ""fusion_hidden_dim"": 64, ""grad_clip_norm"": 5.0, ""learning_rate"": 0.001, ""max_epochs"": 250, ""min_delta"": 0.0001, ""patience"": 35, ""property_projection_dim"": 16, ""weight_decay"": 0.0001}}",40,44.89999866485596,59.68000030517578,294.33094477063923,90.87080432725595,0.1247007552783681,6.555255089595747,22.656731977195058,18.213027365067425,0.6046238134647386,0.379636927971499,3.467446008783623,0.36466228437155335
2,deep_sets_v1,raw,133,34,0.4477621670230292,0.8907609656453133,"{""best_epoch"": 28, ""best_val_loss"": 0.8907609656453133, ""config"": {""batch_size"": 32, ""component_embedding_dim"": 8, ""condition_hidden_dim"": 32, ""dropout"": 0.1, ""element_hidden_dim"": 64, ""family_embedding_dim"": 8, ""fusion_hidden_dim"": 64, ""grad_clip_norm"": 5.0, ""learning_rate"": 0.001, ""max_epochs"": 250, ""min_delta"": 0.0001, ""patience"": 35, ""property_projection_dim"": 16, ""weight_decay"": 0.0001}}",28,50.15999984741211,60.729997634887695,73.67474532441939,43.41268540699692,0.4785502655721613,1.4687947677141087,24.970879568511528,18.99510377996108,0.37319614536956214,0.4111786685492385,0.9399867181316736,0.4258732054708617
2,deep_sets_v1,viscosity_asinh,133,34,0.4369325420120731,0.5339150130748749,"{""best_epoch"": 25, ""best_val_loss"": 0.5339150130748749, ""config"": {""batch_size"": 32, ""component_embedding_dim"": 8, ""condition_hidden_dim"": 32, ""dropout"": 0.1, ""element_hidden_dim"": 64, ""family_embedding_dim"": 8, ""fusion_hidden_dim"": 64, ""grad_clip_norm"": 5.0, ""learning_rate"": 0.001, ""max_epochs"": 250, ""min_delta"": 0.0001, ""patience"": 35, ""property_projection_dim"": 16, ""weight_decay"": 0.0001}}",25,50.15999984741211,60.729997634887695,79.34954984058088,37.24792653407629,0.3951271399537757,1.5819288293852485,27.889171360026864,21.280346253338983,0.21812882964665103,0.45923221548102466,1.0205805224331366,0.30662798480021336
3,deep_sets_v1,raw,134,33,0.6640694999950938,0.4749755859375,"{""best_epoch"": 60, ""best_val_loss"": 0.4749755859375, ""config"": {""batch_size"": 32, ""component_embedding_dim"": 8, ""condition_hidden_dim"": 32, ""dropout"": 0.1, ""element_hidden_dim"": 64, ""family_embedding_dim"": 8, ""fusion_hidden_dim"": 64, ""grad_clip_norm"": 5.0, ""learning_rate"": 0.001, ""max_epochs"": 250, ""min_delta"": 0.0001, ""patience"": 35, ""property_projection_dim"": 16, ""weight_decay"": 0.0001}}",60,49.437499046325684,61.784998416900635,110.1918067589908,62.14930856589115,-8.707639321424008,2.2289114312949962,18.283576402430153,13.696246031558875,0.7157553047754415,0.2959225842988591,1.2624170077969277,-3.995942008324283
3,deep_sets_v1,viscosity_asinh,134,33,1.0050996670033783,0.3953317701816559,"{""best_epoch"": 109, ""best_val_loss"": 0.3953317701816559, ""config"": {""batch_size"": 32, ""component_embedding_dim"": 8, ""condition_hidden_dim"": 32, ""dropout"": 0.1, ""element_hidden_dim"": 64, ""family_embedding_dim"": 8, ""fusion_hidden_dim"": 64, ""grad_clip_norm"": 5.0, ""learning_rate"": 0.001, ""max_epochs"": 250, ""min_delta"": 0.0001, ""patience"": 35, ""property_projection_dim"": 16, ""weight_decay"": 0.0001}}",109,49.437499046325684,61.784998416900635,144.8446467757411,57.99278157127289,-15.773354358864268,2.929853847178103,16.595333228907187,13.265657107035318,0.765824195367047,0.2685981007384425,1.5992259739582726,-7.50376508174861
4,deep_sets_v1,raw,134,33,0.9522917499998584,0.09585558250546455,"{""best_epoch"": 100, ""best_val_loss"": 0.09585558250546455, ""config"": {""batch_size"": 32, ""component_embedding_dim"": 8, ""condition_hidden_dim"": 32, ""dropout"": 0.1, ""element_hidden_dim"": 64, ""family_embedding_dim"": 8, ""fusion_hidden_dim"": 64, ""grad_clip_norm"": 5.0, ""learning_rate"": 0.001, ""max_epochs"": 250, ""min_delta"": 0.0001, ""patience"": 35, ""property_projection_dim"": 16, ""weight_decay"": 0.0001}}",100,49.46000003814697,60.21250104904175,110.98015191989307,54.038539471048296,0.7226149585789523,2.2438364705680853,18.433658788133965,13.89479585127397,0.7958422034116605,0.3061433833004239,1.2749899269342546,0.7592285809953063
4,deep_sets_v1,viscosity_asinh,134,33,0.4716705830069259,0.503826767206192,"{""best_epoch"": 32, ""best_val_loss"": 0.503826767206192, ""config"": {""batch_size"": 32, ""component_embedding_dim"": 8, ""condition_hidden_dim"": 32, ""dropout"": 0.1, ""element_hidden_dim"": 64, ""family_embedding_dim"": 8, ""fusion_hidden_dim"": 64, ""grad_clip_norm"": 5.0, ""learning_rate"": 0.001, ""max_epochs"": 250, ""min_delta"": 0.0001, ""patience"": 35, ""property_projection_dim"": 16, ""weight_decay"": 0.0001}}",32,49.46000003814697,60.21250104904175,163.39842555134564,63.668715233993815,0.3987042390061226,3.303647905890042,22.119856933618042,15.784487522009647,0.7060269565016111,0.36736319781172866,1.8355055518508854,0.5523655977538668
5,deep_sets_v1,raw,134,33,0.7121669999905862,0.14029905572533607,"{""best_epoch"": 68, ""best_val_loss"": 0.14029905572533607, ""config"": {""batch_size"": 32, ""component_embedding_dim"": 8, ""condition_hidden_dim"": 32, ""dropout"": 0.1, ""element_hidden_dim"": 64, ""family_embedding_dim"": 8, ""fusion_hidden_dim"": 64, ""grad_clip_norm"": 5.0, ""learning_rate"": 0.001, ""max_epochs"": 250, ""min_delta"": 0.0001, ""patience"": 35, ""property_projection_dim"": 16, ""weight_decay"": 0.0001}}",68,47.15500020980835,60.067500591278076,176.62376270256914,87.21496633327368,-0.0036533993088978534,3.7455998709937655,20.330383872770234,15.241364247871168,0.6845667956468537,0.3384589615457089,2.042029416269737,0.34045669816897794
5,deep_sets_v1,viscosity_asinh,134,33,1.7614203750272281,0.09022584371268749,"{""best_epoch"": 225, ""best_val_loss"": 0.09022584371268749, ""config"": {""batch_size"": 32, ""component_embedding_dim"": 8, ""condition_hidden_dim"": 32, ""dropout"": 0.1, ""element_hidden_dim"": 64, ""family_embedding_dim"": 8, ""fusion_hidden_dim"": 64, ""grad_clip_norm"": 5.0, ""learning_rate"": 0.001, ""max_epochs"": 250, ""min_delta"": 0.0001, ""patience"": 35, ""property_projection_dim"": 16, ""weight_decay"": 0.0001}}",225,47.15500020980835,60.067500591278076,1913.8119775542646,391.9189564072844,-116.83763873110013,40.585557608717544,88.80473371775892,27.581364805048164,-5.01850301800801,1.478415663105742,21.031986635911643,-60.92807087455407
